,rank,AGE,GP,P,P/GP,+/-,Sh%,ixG,iSh,iCF,iFF,ixG60,iSh60,iCF60,iFF60,SF%,CF%,FF%,xGF%,W,L,SO,GAA,Sv%,GA60,xGA60,GSAx60,G/GP,A/GP,x0_C,"x0_C, LW","x0_C, LW, RW","x0_C, RW","x0_C, RW, LW",x0_D,x0_G,x0_LD,"x0_LD, LW",x0_LD/RD,x0_LW,"x0_LW, C","x0_LW, C, RW","x0_LW, LD","x0_LW, RW","x0_LW, RW, C",x0_RD,"x0_RD, RW",x0_RW,"x0_RW, C","x0_RW, LW","x0_RW, LW, C",Low Cap Hit,Middle Cap Hit,High Cap Hit,Low Salary,Middle Salary,High Salary
1162,1163,20,0,0,0.00,0,0.0,0.00,0,0,0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1163,1164,22,13,4,0.31,0,0.07,0.38,14,34,21,0.11,4.05,9.86,6.1,46.52,48.61,47.53,45.15,0,0,0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.23076923076923078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1164,1165,22,0,-,-,0,0.0,-,-,-,-,0.0,0.0,0.0,0.0,0.0,-,-,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1165,1166,22,0,0,0.00,0,0.0,0.00,0,0,0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1166,1167,22,0,0,0.00,0,0.0,0.00,0,0,0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1167,1168,22,0,0,0.00,0,0.0,0.00,0,0,0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1168,1169,22,0,0,0.00,0,0.0,0.00,0,0,0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1169,1170,22,1,0,0.00,0,0.0,0.00,0,0,0,0.0,0.0,0.0,0.0,66.67,50.00,63.64,52.63,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1170,1171,23,0,0,0.00,0,0.0,0.00,0,0,0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1171,1172,22,0,0,0.00,0,0.0,0.00,0,0,0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
